Week,Revenue,t
2026-01-11,38593,0
2026-01-18,21050,1
2026-01-25,31797,2
2026-02-01,39876,3
2026-02-08,34938,4
2026-02-15,30147,5
2026-02-22,31597,6
2026-03-01,107792,7
2026-03-08,6045,8
2026-03-15,97284,9
2026-03-22,1824,10
2026-03-29,38364,11
2026-04-05,101178,12
2026-04-12,30668,13
2026-04-19,122250,14
2026-04-26,148037,15
2026-05-03,91176,16
2026-05-10,37349,17
2026-05-17,16122,18
2026-05-24,46809,19
2026-05-31,30653,20
2026-06-07,76169,21
2026-06-14,0,22
2026-06-21,35110,23
2026-06-28,47410,24
2026-07-05,37279,25
2026-07-12,15519,26
2026-07-19,61599,27
2026-07-26,44824,28
2026-08-02,30184,29
