Retailer,Region,Total_Revenue,Total_Units,Num_Transactions,Avg_Unit_Price,Avg_Discount,Category_Diversity,Brand_Diversity,Avg_Order_Value,Top_Category,Customer,Segment,Segment_Label,PC1,PC2
BookNest,Central,1728,16,1,120.0,10.0,1,1,1728.0,Art & Craft,BookNest - Central,1,Low-Value,-3.6547319157478593,0.09844701234842157
BookNest,East,39747,416,4,136.25,6.0,3,3,9936.75,Art & Craft,BookNest - East,0,Mid-Value,-0.2079645282479734,-0.7967716812675466
BookNest,North,20680,244,4,91.25,7.5,3,3,5170.0,Paper Products,BookNest - North,0,Mid-Value,-1.1672239295468256,-1.4391814033776422
BookNest,South,89143,810,6,120.0,1.5,3,4,14857.166666666666,Writing,BookNest - South,2,High-Value,2.193616791964626,-1.060238833328593
BookNest,West,42224,440,5,169.0,5.0,4,5,8444.8,Writing,BookNest - West,0,Mid-Value,0.6058444517024143,-1.226039396905787
Campus Store,Central,7138,388,2,20.0,7.5,1,2,3569.0,Office Supplies,Campus Store - Central,0,Mid-Value,-2.49212482880646,-1.1407716646032429
Campus Store,East,68305,499,5,180.0,5.8,2,4,13661.0,Art & Craft,Campus Store - East,0,Mid-Value,0.3938801898694104,0.26144646847436803
Campus Store,North,53667,152,3,253.33333333333334,5.0,2,3,17889.0,Writing,Campus Store - North,1,Low-Value,-0.6261656228225453,1.6221344458335007
Campus Store,South,49985,516,6,76.66666666666667,3.8333333333333335,4,5,8330.833333333334,Art & Craft,Campus Store - South,0,Mid-Value,1.0095720834566264,-2.2640580449257746
Campus Store,West,51512,253,3,273.3333333333333,1.3333333333333333,2,2,17170.666666666668,Art & Craft,Campus Store - West,1,Low-Value,-0.10632350354699789,1.5960264848348786
Office Mart,Central,40054,415,4,102.5,6.75,2,3,10013.5,Office Supplies,Office Mart - Central,0,Mid-Value,-0.718607600913906,-0.6019446681995275
Office Mart,East,219745,898,7,283.57142857142856,4.714285714285714,3,5,31392.14285714286,Art & Craft,Office Mart - East,2,High-Value,4.709972411814808,1.9558345268585904
Office Mart,North,70685,473,5,173.0,4.8,2,4,14137.0,Art & Craft,Office Mart - North,0,Mid-Value,0.454897878183104,0.23179639619505912
Office Mart,South,112182,842,7,147.14285714285714,5.285714285714286,3,4,16026.0,Writing,Office Mart - South,2,High-Value,2.537781351607284,-0.694183959136177
Office Mart,West,36265,212,3,181.66666666666666,0.6666666666666666,3,3,12088.333333333334,Writing,Office Mart - West,0,Mid-Value,-0.2926846266186345,-0.10945097922400848
Paper Plus,Central,14446,207,2,100.0,3.5,2,2,7223.0,Paper Products,Paper Plus - Central,0,Mid-Value,-1.7656850354396352,-0.5869236401701237
Paper Plus,East,24765,102,2,265.0,8.5,1,2,12382.5,Art & Craft,Paper Plus - East,1,Low-Value,-2.156686379883416,1.986962738963905
Paper Plus,North,109593,684,7,142.14285714285714,5.285714285714286,2,5,15656.142857142857,Art & Craft,Paper Plus - North,2,High-Value,1.7780153870501965,-0.17935728786621477
Paper Plus,South,6468,30,1,220.0,2.0,1,1,6468.0,Writing,Paper Plus - South,1,Low-Value,-2.50383350287673,1.1458532394904117
Paper Plus,West,116781,730,7,177.85714285714286,4.857142857142857,3,4,16683.0,Art & Craft,Paper Plus - West,2,High-Value,2.479637663109384,-0.2782057625522694
Stationery Hub,Central,52875,522,4,116.25,6.0,3,4,13218.75,Office Supplies,Stationery Hub - Central,0,Mid-Value,0.23129230204417778,-0.7947192423026206
Stationery Hub,East,51274,428,5,89.0,4.6,3,5,10254.8,Writing,Stationery Hub - East,0,Mid-Value,0.23318600779486978,-1.3326598341591782
Stationery Hub,North,64542,461,3,160.0,3.0,3,2,21514.0,Office Supplies,Stationery Hub - North,0,Mid-Value,0.6230333174122129,0.2802788703745777
Stationery Hub,South,20611,261,2,82.5,6.0,2,2,10305.5,Art & Craft,Stationery Hub - South,0,Mid-Value,-1.7289362343707582,-0.5098183722647796
Stationery Hub,West,87228,335,2,245.0,7.5,1,2,43614.0,Writing,Stationery Hub - West,1,Low-Value,0.1702378728126276,3.835544586909771
